Time_submitted,text,Rating,Total_thumbsup,Reply,sentiment
2022-04-12 22:13:22,"What is going on, Spotify? Nothing will play no matter what I do. Fix it.",2,0,,negative
2022-02-21 15:58:15,"Music that's matched to me, spot on!!!!! Thanks Spotify I wrote that 9 word review 2 years ago and now, in 2022 I don't need to say anything more. It's still my go to music app every single day. I don't know what I would do without it. Spotify is like my dog, a Moodchanger & a Lifesaver! You Rock Spotify !!!",5,7,,positive
2022-04-29 08:49:34,Lots of bugs in the latest version,5,0,,negative
2022-03-23 08:13:13,"Damn, Spotify used to be an amazing streaming platform before. But now, I couldn't even play musics in my playlist at full length under my command. If I were to do so it must be on shuffle, what's this? Becoming more money hungry as time passes by? Or yall just really want to receive 1 ⭐ ratings all over?",1,2,,negative
2022-06-15 02:39:28,Never have been annoyed in my entire life than while using this application,5,0,,negative
2022-05-01 10:39:46,Spot On! Thank you for all the jams tunes and songs that help me get along! Bong Bong Spotify till I Fly!,5,0,,positive
2022-04-19 16:40:54,The app recently is giving everyone i know on the app no matter what service trouble. It won't load properly or play music. Downloaded music has issue and it will start playing but won't give you an option to pause or skip or play. Its has the app open but no song actually playing. Plz help,3,1,,negative
2022-06-13 05:00:27,"I Love spotify!!! The only thing I wish they had was a button to click on that brought me to a music video, like YouTube has.",5,0,,positive
2022-03-17 02:23:27,"Been using spotify since 2017, maybe later. Haven't had any qualms with the app or the music found on it, or not found. My Playlist is over 2k and counting. Thanks for having all the metal and hard rock a metal head could ask for.",5,2,,positive
2022-06-22 12:59:24,All the music I like in one easy to navigate app,5,0,,positive
2022-05-08 08:02:50,Love it. Best music app ever. I travel a lot and go to rural areas with poor or no coverage at all. My offline music is always there to keep me company.,5,3,,positive
2022-06-17 11:10:54,"The bloody autoplay feature just won't stop! It keeps playing random songs I don't like and didn't even added to the Playlist despite disabling it in the settings. After playing those annoying songs, ads roll in that lasts for like a minute or so. Instead of putting me in a good mood, it did the exact opposite. Don't use this app unless you have the budget for premium subscription. LISTENING MUSIC ON YOUTUBE IS WAY BETTER THAN AN APP LITERALLY CREATED FOR LISTENING MUSIC.",2,0,,negative
2022-07-01 16:05:50,Love group listen and shared playlists,5,0,,positive
2022-03-30 15:00:00,"One of the most annoying music playing apps ever, why are there limited skips, if I don't like a song I cant skip it if I don't have enough skips, also if I search up a song and want to play it I won't let me unless I add it to my Playlist, and even then it won't work because Spotify adds songs to your Playlist for no reason, which wouldn't be much of a problem if the default wasn't on shuffle to play music in your Playlist, this app is way to complicated to use and I would not recommend at all",1,2,,negative
2022-04-22 18:11:29,Minor glitches but all around good times,4,0,,positive
2022-06-14 14:32:36,Just want to say I loved the app at first but now it locked me out of all my downloads my library a my liked songs my artist that I download and it's not playing any music now I just want to know what's going on?,1,2,,negative
2022-04-06 03:27:30,Spotify has an amazing way of noting music you love and creating a playlist for you that at your best and worst mood they are with you. Keep up the good work SPOT. Thank you.,5,0,,positive
2022-05-24 14:52:18,"Great app. Has almost all the songs I look for. Their premium family plan is so so worth it. There's absolutely no restrictions on playlists and other such organisations for the paid plan. Useful features are added quite frequently. Love the swipe to add to queue feature. Song and playing radios, and other song suggestions are quite apt",5,11,,positive
2022-04-23 03:33:18,"You can access all ur favourite songs in your playlist, listen to your favorite artist or short storys. It has good quality and easy to be happy and sing all your problems away. Best to use speakers or headphones. Honestly this app is full of happiness and love.",5,1,,positive
2022-04-11 16:16:15,Update Extremely Bugged. Please revert to old update. Search bar isn't formatted and is cut off. Can play music but doesn't actually visually show any song was selected.,2,1,,negative
2022-02-24 21:27:24,Its buggy as hell. Random pauses. no control panel to play/pause. Its very frustrating to use and navigate.,1,1,,negative
2022-07-07 14:25:44,All of my favorite podcasts from all aspects of my recreational life to my professional life in one place.,5,0,,positive
2022-04-15 10:05:20,"Bugged since a few days. No longer showing what is currently playing (in-app), no bar in notification area and doesn't stop music after a bluetooth device disconnects.",1,2,,negative
2022-04-19 04:38:38,It's good untill you go pronium then if you don't pay you can't usa at all sucky,4,0,,negative
2022-07-05 23:28:28,"Right now as soon as I start vacation it is not working, not loading. I've uninstalled, reinstalled, forced stopped, restarted my phone. This is beyond annoying!!! Edit, got a new phone and app still not working!!! Everyone else in my family plan has a working spotify except myself and I am the plan account holder.",1,1,,negative
2022-05-04 12:17:33,"I love Spotify! I use it for my personally and for my business, I love how it's easy to use and some of the Spotify playlists are perfect.",5,0,,positive
2022-07-05 18:47:32,"Everything is almost alright. Whenever I play my liked songs shuffled, after couple of my liked songs are played a little after you play song THAT I NEVER LIKED WHY PLAY THEM WHEN I HAVEN'T LIKED THEM. FIX THIS. Not only that every 10 minutes i get an add. Don't hmu with the bs of not bothering you with adds for 30 minutes. THANKS FOR DISABLING MY ACCOUNT AFTER I WROTE THIS, everything was fine before I rated this.",1,0,,negative
2022-03-19 02:44:07,This so good when I am feeling so sad I listen to music in spotify,5,0,,positive
2022-03-04 16:49:24,It's a very nice app actually BUT the thing that is really annoying me so bad is that it's with Internet hopefully Spotify would fix this problem thank you,4,0,,negative
2022-02-02 14:29:16,"Awesome app! Ignore the haters/fakers. wAy better than other options! Thanks! Thanks for the great music,awesome playlists, and great quality sound. I have tried about a dozen other apps, this is by far my favorite (and the rest of the family, we all use it! I definitely recommend this for all your music listening needs! Thanks spotify for standing up for what is right! I enjoy joe rogan podcast. It's one of the few completely honest places left!",5,5,,positive
