Time_submitted,text,Rating,Total_thumbsup,Reply,sentiment,topic
2022-04-12 22:13:22,"What is going on, Spotify? Nothing will play no matter what I do. Fix it.",2,0,,negative,2
2022-04-29 08:49:34,Lots of bugs in the latest version,5,0,,negative,0
2022-03-23 08:13:13,"Damn, Spotify used to be an amazing streaming platform before. But now, I couldn't even play musics in my playlist at full length under my command. If I were to do so it must be on shuffle, what's this? Becoming more money hungry as time passes by? Or yall just really want to receive 1 ⭐ ratings all over?",1,2,,negative,3
2022-06-15 02:39:28,Never have been annoyed in my entire life than while using this application,5,0,,negative,0
2022-04-19 16:40:54,The app recently is giving everyone i know on the app no matter what service trouble. It won't load properly or play music. Downloaded music has issue and it will start playing but won't give you an option to pause or skip or play. Its has the app open but no song actually playing. Plz help,3,1,,negative,-1
2022-06-17 11:10:54,"The bloody autoplay feature just won't stop! It keeps playing random songs I don't like and didn't even added to the Playlist despite disabling it in the settings. After playing those annoying songs, ads roll in that lasts for like a minute or so. Instead of putting me in a good mood, it did the exact opposite. Don't use this app unless you have the budget for premium subscription. LISTENING MUSIC ON YOUTUBE IS WAY BETTER THAN AN APP LITERALLY CREATED FOR LISTENING MUSIC.",2,0,,negative,-1
2022-03-30 15:00:00,"One of the most annoying music playing apps ever, why are there limited skips, if I don't like a song I cant skip it if I don't have enough skips, also if I search up a song and want to play it I won't let me unless I add it to my Playlist, and even then it won't work because Spotify adds songs to your Playlist for no reason, which wouldn't be much of a problem if the default wasn't on shuffle to play music in your Playlist, this app is way to complicated to use and I would not recommend at all",1,2,,negative,3
2022-06-14 14:32:36,Just want to say I loved the app at first but now it locked me out of all my downloads my library a my liked songs my artist that I download and it's not playing any music now I just want to know what's going on?,1,2,,negative,-1
2022-04-11 16:16:15,Update Extremely Bugged. Please revert to old update. Search bar isn't formatted and is cut off. Can play music but doesn't actually visually show any song was selected.,2,1,,negative,5
2022-02-24 21:27:24,Its buggy as hell. Random pauses. no control panel to play/pause. Its very frustrating to use and navigate.,1,1,,negative,0
2022-04-15 10:05:20,"Bugged since a few days. No longer showing what is currently playing (in-app), no bar in notification area and doesn't stop music after a bluetooth device disconnects.",1,2,,negative,2
2022-04-19 04:38:38,It's good untill you go pronium then if you don't pay you can't usa at all sucky,4,0,,negative,4
2022-07-05 23:28:28,"Right now as soon as I start vacation it is not working, not loading. I've uninstalled, reinstalled, forced stopped, restarted my phone. This is beyond annoying!!! Edit, got a new phone and app still not working!!! Everyone else in my family plan has a working spotify except myself and I am the plan account holder.",1,1,,negative,2
